comparison_slug,dataset,comparison_type,comparison,selected_family,artifact,sha256,size_bytes,size_mb,verified_reproduces_frozen_predictions,verification_status,sklearn_version,joblib_version,operating_threshold,n_required_input_columns,required_input_columns,distribution,exceeds_repository_file_limit
age_brfss_2022_heart_disease,BRFSS 2022 (heart disease),age,18_44_vs_65_plus,xgboost,age_brfss_2022_heart_disease_model.joblib,498a6726f4db37f713413fc87c2a45ce86d56476f375d1b0ca2704c87bc4ff3b,3119036,3.12,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.10025098566219702,20,income_level;education_level;race;diabetes_or_prediabetes;stroke;asthma;copd;kidney_disease;arthritis;depression;diff_walking;bmi;general_health;phys_health_days;ment_health_days;physical_activity;heavy_drinking;smoked_100_cigs;has_health_coverage;cost_barrier,archival_bundle,False
age_cchs_2019_20_diabetes,CCHS 2019-20 (diabetes),age,18_34_vs_65_plus,l1_logistic_regression,age_cchs_2019_20_diabetes_model.joblib,263b601baa41ef8cb6bbb3b766fcaf2e700c8c95232261ea57d08ab8ba67210b,29657,0.03,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.13037588115083465,9,education_level;income_level;GEOGPRV;high_bp;high_cholesterol;overweight_or_obese;current_smoker;physical_activity_minutes;has_regular_healthcare_provider,archival_bundle,False
age_cdc_diabetes_brfss_2015,CDC Diabetes (BRFSS 2015),age,18_44_vs_65_plus,xgboost,age_cdc_diabetes_brfss_2015_model.joblib,e5d0563e43c1f62b687b8b6711d8f2de54f19edbfe8aa6c1a63d68bc7e11bd33,3059104,3.06,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.16148721982694242,19,HighBP;HighChol;CholCheck;BMI;Smoker;Stroke;HeartDiseaseorAttack;PhysActivity;Fruits;Veggies;HvyAlcoholConsump;AnyHealthcare;NoDocbcCost;GenHlth;MentHlth;PhysHlth;DiffWalk;Education;Income,archival_bundle,False
age_diabetes_130_readmission,Diabetes-130 (readmission),age,under_30_vs_60_plus,calibrated_ensemble,age_diabetes_130_readmission_model.joblib,f03d4e2f86d3be3c9cb336140431b1969b6a09bbbce33e6521c06234567490fa,385570564,385.57,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.11718875502008032,39,number_diagnoses;race;time_in_hospital;num_lab_procedures;num_procedures;num_medications;number_outpatient;number_emergency;number_inpatient;admission_type_id;discharge_disposition_id;admission_source_id;metformin;repaglinide;nateglinide;chlorpropamide;glimepiride;acetohexamide;glipizide;glyburide;tolbutamide;pioglitazone;rosiglitazone;acarbose;miglitol;troglitazone;tolazamide;examide;citoglipton;insulin;glyburide-metformin;glipizide-metformin;glimepiride-pioglitazone;metformin-rosiglitazone;metformin-pioglitazone;max_glu_serum;A1Cresult;change;diabetesMed,archival_bundle_only,True
age_nhanes_2017_18_diabetes,NHANES 2017-18 (diabetes),age,under_45_vs_65_plus,logistic_regression,age_nhanes_2017_18_diabetes_model.joblib,49abbf76c9c1c2206a611dd549da29fc0d7cf56bf7d9d6f8dd6662d614477ca0,22156,0.02,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.1591160220994475,9,education_level;income_to_poverty_ratio;race;high_bp;high_cholesterol;bmi;smoked_100_cigs;vigorous_activity;has_health_insurance,archival_bundle,False
race_brfss_2022_heart_disease_hispanic_vs_white,BRFSS 2022 (heart disease),race_secondary,Hispanic_vs_White,xgboost,race_brfss_2022_heart_disease_hispanic_vs_white_model.joblib,290cbcc27ba92ffb60325fb59ecdca9df83bf28b162813936001685170e1bad7,3118980,3.12,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.09293625673630995,20,age_numeric;income_level;education_level;diabetes_or_prediabetes;stroke;asthma;copd;kidney_disease;arthritis;depression;diff_walking;bmi;general_health;phys_health_days;ment_health_days;physical_activity;heavy_drinking;smoked_100_cigs;has_health_coverage;cost_barrier,archival_bundle,False
race_brfss_2022_heart_disease,BRFSS 2022 (heart disease),race,Black_vs_White,xgboost,race_brfss_2022_heart_disease_model.joblib,902c9dd2e2344c0fa0965c725af5f9a439f318eaceaeddaf778e8851f6d26990,3117412,3.12,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.09560305430185359,20,age_numeric;income_level;education_level;diabetes_or_prediabetes;stroke;asthma;copd;kidney_disease;arthritis;depression;diff_walking;bmi;general_health;phys_health_days;ment_health_days;physical_activity;heavy_drinking;smoked_100_cigs;has_health_coverage;cost_barrier,archival_bundle,False
race_brfss_2022_heart_disease_multiracial_vs_white,BRFSS 2022 (heart disease),race_secondary,Multiracial_vs_White,xgboost,race_brfss_2022_heart_disease_multiracial_vs_white_model.joblib,891ed7b22708c434a6900119b5cbbee6c11bfe878fee1e537d0cc2c622b41815,3118612,3.12,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.09752003252416362,20,age_numeric;income_level;education_level;diabetes_or_prediabetes;stroke;asthma;copd;kidney_disease;arthritis;depression;diff_walking;bmi;general_health;phys_health_days;ment_health_days;physical_activity;heavy_drinking;smoked_100_cigs;has_health_coverage;cost_barrier,archival_bundle,False
race_diabetes_130_readmission,Diabetes-130 (readmission),race,AfricanAmerican_vs_Caucasian,xgboost,race_diabetes_130_readmission_model.joblib,3a28f203be83b5e116c25d427513a59f05277bc249b40b1ecb79c5c8ebb69439,5579024,5.58,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.11197195811770369,39,age_numeric;number_diagnoses;time_in_hospital;num_lab_procedures;num_procedures;num_medications;number_outpatient;number_emergency;number_inpatient;admission_type_id;discharge_disposition_id;admission_source_id;metformin;repaglinide;nateglinide;chlorpropamide;glimepiride;acetohexamide;glipizide;glyburide;tolbutamide;pioglitazone;rosiglitazone;acarbose;miglitol;troglitazone;tolazamide;examide;citoglipton;insulin;glyburide-metformin;glipizide-metformin;glimepiride-pioglitazone;metformin-rosiglitazone;metformin-pioglitazone;max_glu_serum;A1Cresult;change;diabetesMed,archival_bundle,False
race_nhanes_2017_18_diabetes,NHANES 2017-18 (diabetes),race,Black_vs_White,l1_logistic_regression,race_nhanes_2017_18_diabetes_model.joblib,6ff8c6c458b8949bc39997681fd51717d46bd7cb49966c213fa165e2b69cf60f,18983,0.02,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.180855569673867,9,age_years;education_level;income_to_poverty_ratio;high_bp;high_cholesterol;bmi;smoked_100_cigs;vigorous_activity;has_health_insurance,archival_bundle,False
sex_brfss,BRFSS 2022 (Behavioral Risk Factor Surveillance System),sex,Male vs Female,xgboost,sex_brfss_model.joblib,369cee43aea6a04f041522fb57ffdcd684b204815f8eabace8e886af0d76dc8a,3123200,3.12,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.09032157545029328,21,age_numeric;income_level;education_level;race;diabetes_or_prediabetes;stroke;asthma;copd;kidney_disease;arthritis;depression;diff_walking;bmi;general_health;phys_health_days;ment_health_days;physical_activity;heavy_drinking;smoked_100_cigs;has_health_coverage;cost_barrier,archival_bundle,False
sex_cchs,CCHS 2019-2020,sex,Male vs Female,calibrated_ensemble,sex_cchs_model.joblib,86671e64404ce023ee77a84e1e0cc15e284d3ade1e987907710f676c69c0a031,254383002,254.38,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.09909663290446209,10,age_years;education_level;income_level;GEOGPRV;high_bp;high_cholesterol;overweight_or_obese;current_smoker;physical_activity_minutes;has_regular_healthcare_provider,archival_bundle_only,True
sex_cdc,CDC Diabetes Health Indicators (BRFSS 2015),sex,Male vs Female,xgboost,sex_cdc_model.joblib,4ec57ab9ceb37c9254838b8d911d21277866463eaf5d39b79b095ed74de84b3c,3076756,3.08,True,verified_by_recomputing_frozen_predictions,1.9.0,1.5.3,0.1575888633599135,20,HighBP;HighChol;CholCheck;BMI;Smoker;Stroke;HeartDiseaseorAttack;PhysActivity;Fruits;Veggies;HvyAlcoholConsump;AnyHealthcare;NoDocbcCost;GenHlth;MentHlth;PhysHlth;DiffWalk;Age;Education;Income,archival_bundle,False
